ID,Station Name,Total Docks,Latitude,Longitude
1.59405E+18,Troy St & Jackson Blvd,9,41.877505,-87.70485
641,Central Park Ave & Bloomingdale Ave,11,41.914166,-87.716755
1.68353E+18,Public Rack - Cornell Ave & 87th Pl,1,41.73688127,-87.58314552
367,Racine Ave & 35th St,15,41.83068857,-87.65621066
1.67385E+18,Public Rack - Francisco Ave & Touhy Ave,2,42.011865,-87.701317
648,Carpenter St & 63rd St,7,41.77987,-87.650919
427,Cottage Grove Ave & 63rd St,15,41.78053094,-87.6059702
758,Lincoln Ave & Roscoe St*,16,41.94335025,-87.67066777
644,Western Ave & Fillmore St,11,41.868563,-87.686234
503,St. Louis Ave & Fullerton Ave,15,41.9248156,-87.71449506
1.67385E+18,Public Rack - California Ave & Touhy Ave - midblock,1,42.012207,-87.700474
643,Smith Park,15,41.892048,-87.689397
640,Bernard St & Elston Ave,11,41.949923,-87.713949
637,Wood St & Chicago Ave,15,41.895634,-87.672069
761,Bissell St & Armitage Ave*,16,41.91829556,-87.65218332
718,Ewing Ave & Burnham Greenway,11,41.71274876,-87.53481388
690,State St & 95th St,15,41.7218499,-87.6228544
566,Damen Ave & 74th St,11,41.75927404,-87.67363429
1.67385E+18,Public Rack - California Ave & Touhy Ave - SW,1,42.011867,-87.700407
650,Eggleston Ave & 69th St,11,41.768898,-87.635876
1.67725E+18,Public Rack - Sawyer Ave & Bryn Mawr Ave - SW,1,41.982879,-87.710534
674,Michigan Ave & 71st St,7,41.765286,-87.621748
1.4365E+18,N Clark St & W Elm St,4,41.902901,-87.631282
664,Leavitt St & Belmont Ave,15,41.939354,-87.683282
656,Damen Ave & Walnut (Lake) St,15,41.885951,-87.677009
1.5637E+18,Sayre & Diversey,9,41.9310084,-87.8010646
658,Leavitt St & Division St,15,41.902997,-87.683825
1.4365E+18,W Armitage Ave & N Sheffield Ave,8,41.917805,-87.653449
649,Stewart Ave & 63rd St,11,41.779835,-87.634774
632,Clark St & Newport St,15,41.94454,-87.654678
1.4365E+18,W Oakdale Ave & N Broadway,6,41.935581,-87.644042
654,Racine Ave & Washington Blvd,11,41.883073,-87.656952
446,Western & 28th - Velasquez Institute Vaccination Site,11,41.84151771,-87.68513144
1.44864E+18,S Aberdeen St & W 106th St,3,41.701217,-87.649345
1.5637E+18,Kostner Ave & Wrightwood Ave,9,41.9279399,-87.7359921
192,Canal St & Adams St,47,41.879255,-87.639904
759,Wilton Ave & Diversey Pkwy*,32,41.932418,-87.652705
763,Morgan St & Lake St*,20,41.88549171,-87.65228927
1.4365E+18,N Paulina St & Lincoln Ave,6,41.943838,-87.671469
1.67385E+18,Public Rack - Rockwell Ave & Touhy Ave,2,42.012344,-87.695383
1.4365E+18,N Sheffield Ave & W Wellington Ave,6,41.9362263,-87.6537676
1.67419E+18,Public Rack - 2302 S Pulaski Rd,1,41.849437,-87.724879
