geoid,state,county,tract,blockgrp,lat,lng,loc_id
1.70318E+14,17,31,837100,1,41.8878,-87.7051,1
1.70313E+14,17,31,320400,1,41.8805,-87.6247,2
1.70318E+14,17,31,844700,1,41.8553,-87.7123,3
1.70313E+14,17,31,310600,2,41.8577,-87.6631,4
1.70313E+14,17,31,310800,1,41.858,-87.668,5
1.70312E+14,17,31,190800,3,41.9244,-87.7467,6
1.70317E+14,17,31,710200,1,41.7545,-87.6445,7
1.70312E+14,17,31,170500,3,41.9519,-87.8327,8
1.70318E+14,17,31,844700,2,41.8517,-87.7151,9
1.70318E+14,17,31,831900,2,41.9439,-87.6719,10
1.70311E+14,17,31,50200,3,41.9552,-87.6842,11
1.70311E+14,17,31,51100,1,41.9397,-87.683,12
1.70318E+14,17,31,839100,2,41.8797,-87.6342,13
1.70312E+14,17,31,220400,2,41.9254,-87.7023,14
1.70313E+14,17,31,310800,1,41.8583,-87.6665,15
1.70311E+14,17,31,62100,1,41.9431,-87.6497,16
1.70311E+14,17,31,61000,1,41.9489,-87.6499,17
1.70316E+14,17,31,610300,3,41.8088,-87.6736,18
1.70312E+14,17,31,220500,1,41.9267,-87.7033,19
1.70311E+14,17,31,81800,1,41.8954,-87.6352,20
1.70318E+14,17,31,839100,1,41.8826,-87.6375,21
1.70311E+14,17,31,62100,1,41.944,-87.6497,22
1.70312E+14,17,31,242200,1,41.9013,-87.6745,23
1.70318E+14,17,31,830700,2,41.968,-87.6595,24
1.70311E+14,17,31,90200,4,42.0112,-87.8178,25
1.7031E+14,17,31,30103,1,41.9963,-87.6599,26
1.70318E+14,17,31,832300,1,41.925,-87.6767,27
1.70318E+14,17,31,839100,1,41.8808,-87.6351,28
1.70313E+14,17,31,320102,1,41.8867,-87.6279,29
1.70311E+14,17,31,81700,2,41.8888,-87.6313,30
1.70312E+14,17,31,221300,1,41.9244,-87.6994,31
1.70312E+14,17,31,231500,4,41.8953,-87.7198,32
1.70312E+14,17,31,150300,1,41.9653,-87.7581,33
1.70312E+14,17,31,200200,1,41.9314,-87.7365,34
1.70312E+14,17,31,243500,2,41.8916,-87.6488,35
1.70311E+14,17,31,140800,3,41.9615,-87.7016,36
1.70311E+14,17,31,80300,1,41.9061,-87.6343,37
1.70318E+14,17,31,833000,1,41.8839,-87.6488,38
1.70312E+14,17,31,222500,1,41.9174,-87.6993,39
1.70311E+14,17,31,81700,2,41.8897,-87.6314,40
1.70313E+14,17,31,280100,1,41.885,-87.6398,41
1.70312E+14,17,31,230200,1,41.9101,-87.7098,42
1.70318E+14,17,31,843700,1,41.9537,-87.6913,43
1.70318E+14,17,31,842600,1,41.8164,-87.6448,44
1.70312E+14,17,31,151100,3,41.9387,-87.7661,45
1.70318E+14,17,31,831100,4,41.9395,-87.7184,46
1.70311E+14,17,31,140100,1,41.9685,-87.7031,47
1.70311E+14,17,31,81800,1,41.8962,-87.637,48
1.70311E+14,17,31,81401,1,41.895,-87.6208,49
1.70318E+14,17,31,750100,4,41.6949,-87.6544,50
1.70318E+14,17,31,839100,1,41.8829,-87.6291,51
1.70312E+14,17,31,210700,2,41.9336,-87.7073,52
1.70311E+14,17,31,90200,4,42.0044,-87.8187,53
1.70318E+14,17,31,832400,1,41.9141,-87.6967,54
1.70314E+14,17,31,430300,2,41.7679,-87.5889,55
1.70316E+14,17,31,600700,2,41.8444,-87.6601,56
1.70318E+14,17,31,842300,2,41.8965,-87.6554,57
1.70316E+14,17,31,600700,2,41.8392,-87.6625,58
1.70313E+14,17,31,281900,3,41.8799,-87.6421,59
1.70311E+14,17,31,50100,2,41.9553,-87.6744,60
1.70312E+14,17,31,210601,3,41.9391,-87.7128,61
1.70318E+14,17,31,842300,1,41.9107,-87.6622,62
1.70318E+14,17,31,841300,2,41.8493,-87.6854,63
1.70318E+14,17,31,832300,1,41.9173,-87.6669,64
1.7031E+14,17,31,30103,1,41.9958,-87.6602,65
1.70318E+14,17,31,839100,1,41.8802,-87.6281,66
1.70311E+14,17,31,81201,1,41.9002,-87.6275,67
1.70318E+14,17,31,841200,1,41.8524,-87.6806,68
1.7031E+14,17,31,40900,2,41.9614,-87.6838,69
1.70318E+14,17,31,839100,1,41.8791,-87.6337,70
1.70318E+14,17,31,839100,2,41.8776,-87.6371,71
1.70312E+14,17,31,242800,1,41.8955,-87.6902,72
1.70316E+14,17,31,611400,3,41.8074,-87.6731,73
1.70318E+14,17,31,839000,4,41.8728,-87.6294,74
1.70318E+14,17,31,750500,3,41.6917,-87.6712,75
1.70312E+14,17,31,221300,2,41.9178,-87.699,76
1.70312E+14,17,31,190200,1,41.9388,-87.7488,77
1.70313E+14,17,31,280100,1,41.8834,-87.6421,78
1.70314E+14,17,31,411100,1,41.7949,-87.588,79
1.70318E+14,17,31,831000,1,41.9112,-87.6777,80
1.70311E+14,17,31,100600,4,41.9807,-87.8054,81
1.70312E+14,17,31,160400,3,41.9579,-87.7248,82
1.70316E+14,17,31,580800,1,41.8086,-87.6877,83
1.70314E+14,17,31,440202,1,41.7441,-87.6144,84
1.70311E+14,17,31,70700,1,41.9322,-87.6727,85
1.70311E+14,17,31,62100,2,41.9449,-87.6497,86
1.70312E+14,17,31,150600,1,41.9529,-87.769,87
1.70312E+14,17,31,170200,2,41.9458,-87.7791,88
1.70311E+14,17,31,81201,3,41.9008,-87.627,89
1.70315E+14,17,31,520400,3,41.6993,-87.5349,90
1.70318E+14,17,31,832400,2,41.9156,-87.6877,91
1.70311E+14,17,31,62100,1,41.9437,-87.6497,92
1.70311E+14,17,31,51300,1,41.9396,-87.6735,93
1.70316E+14,17,31,610400,1,41.8086,-87.6655,94
1.70313E+14,17,31,310600,2,41.8576,-87.6605,95
1.70318E+14,17,31,832400,1,41.9169,-87.6958,96
1.70316E+14,17,31,580501,2,41.8174,-87.6945,97
1.70318E+14,17,31,841500,1,41.8628,-87.7104,98
1.70312E+14,17,31,200402,1,41.9175,-87.7273,99
1.70312E+14,17,31,190800,3,41.9257,-87.7464,100
1.70312E+14,17,31,243100,1,41.8943,-87.6723,101
1.70317E+14,17,31,700401,1,41.7419,-87.7099,102
1.70315E+14,17,31,520100,1,41.7206,-87.5352,103
1.70315E+14,17,31,520300,1,41.7081,-87.5356,104
1.70312E+14,17,31,210502,1,41.932,-87.7235,105
1.70318E+14,17,31,841500,2,41.8613,-87.7093,106
1.70313E+14,17,31,310700,1,41.8561,-87.666,107
1.70318E+14,17,31,839100,1,41.8841,-87.6365,108
1.70313E+14,17,31,310600,1,41.8581,-87.6569,109
1.70312E+14,17,31,190402,1,41.9384,-87.7723,110
1.70313E+14,17,31,281900,1,41.8781,-87.6416,111
1.70311E+14,17,31,62100,2,41.9452,-87.6496,112
1.70312E+14,17,31,230200,1,41.9103,-87.7078,113
1.70311E+14,17,31,50500,1,41.9537,-87.6877,114
1.70317E+14,17,31,711200,3,41.7361,-87.6694,115
1.70318E+14,17,31,839100,1,41.8819,-87.6368,116
1.70312E+14,17,31,191000,1,41.9207,-87.742,117
1.70315E+14,17,31,460500,4,41.7442,-87.5732,118
1.70318E+14,17,31,833000,2,41.8878,-87.6619,119
1.70318E+14,17,31,839100,1,41.8779,-87.6313,120
1.70312E+14,17,31,190401,1,41.9355,-87.7831,121
1.70311E+14,17,31,90300,1,41.9964,-87.8082,122
1.70315E+14,17,31,540101,2,41.6531,-87.6011,123
1.70312E+14,17,31,221400,2,41.9209,-87.6945,124
1.70315E+14,17,31,500300,2,41.6857,-87.6077,125
1.70312E+14,17,31,221400,3,41.92,-87.6928,126
1.70318E+14,17,31,843700,2,41.9381,-87.6876,127
1.70312E+14,17,31,221400,3,41.9181,-87.6946,128
1.70312E+14,17,31,242200,1,41.9025,-87.6742,129
1.70312E+14,17,31,190402,1,41.9385,-87.7687,130
1.70311E+14,17,31,62000,1,41.9432,-87.6491,131
1.70318E+14,17,31,832000,1,41.9462,-87.6498,132
1.70318E+14,17,31,837300,1,41.8737,-87.7029,133
1.70312E+14,17,31,191200,2,41.9172,-87.7569,134
1.70313E+14,17,31,330103,1,41.8555,-87.6253,135
1.70311E+14,17,31,130300,4,41.9831,-87.7133,136
1.70317E+14,17,31,710700,4,41.7433,-87.6588,137
