CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,WEATHER_CONDITION,LIGHTING_CONDITION,TRAFFICWAY_TYPE,ROADWAY_SURFACE_COND,CRASH_TYPE,HIT_AND_RUN_I,PRIM_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,DOORING_I,MOST_SEVERE_INJURY,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE
08/18/2023 05:58:00 PM,30,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,,FAILING TO REDUCE SPEED TO AVOID CRASH,3422,N,LONG AVE,,NONINCAPACITATING INJURY,0,0,1,17,6,8,41.94297575,-87.7618835
08/21/2023 03:35:00 PM,25,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,UNKNOWN,NO INJURY / DRIVE AWAY,Y,UNABLE TO DETERMINE,800,E,75TH ST,,NO INDICATION OF INJURY,0,0,0,15,2,8,41.75869138,-87.60533417
8/1/2023 15:29,30,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,TRAFFIC ROUTE,DRY,INJURY AND / OR TOW DUE TO CRASH,,DRIVING ON WRONG SIDE/WRONG WAY,151,W,EUGENIE ST,,"REPORTED, NOT EVIDENT",0,0,0,15,3,8,41.91279334,-87.63365809
08/24/2023 10:00:00 AM,30,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,,IMPROPER OVERTAKING/PASSING,900,N,ORLEANS ST,,NO INDICATION OF INJURY,0,0,0,10,5,8,41.89897902,-87.63741021
08/15/2023 12:00:00 PM,20,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,Y,IMPROPER OVERTAKING/PASSING,1120,N,ORLEANS ST,Y,NO INDICATION OF INJURY,0,0,0,12,3,8,41.90280345,-87.63756021
08/14/2023 04:55:00 PM,30,NO CONTROLS,RAIN,DAYLIGHT,T-INTERSECTION,WET,INJURY AND / OR TOW DUE TO CRASH,,FAILING TO REDUCE SPEED TO AVOID CRASH,7300,N,WASHTENAW AVE,,NONINCAPACITATING INJURY,0,0,1,16,2,8,42.0139834,-87.69747262
09/23/2023 03:00:00 PM,30,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,FOUR WAY,UNKNOWN,NO INJURY / DRIVE AWAY,Y,FAILING TO YIELD RIGHT-OF-WAY,1700,W,GREENLEAF AVE,,NO INDICATION OF INJURY,0,0,0,15,7,9,42.01034169,-87.67233182
10/7/2023 20:58,35,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",DIVIDED - W/MEDIAN (NOT RAISED),DRY,INJURY AND / OR TOW DUE TO CRASH,Y,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",4714,W,LAKE ST,,INCAPACITATING INJURY,0,1,0,20,7,10,41.8866038,-87.7436834
05/30/2023 05:10:00 PM,30,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",3300,W,BRYN MAWR AVE,Y,INCAPACITATING INJURY,0,1,0,17,3,5,41.98314813,-87.71136489
09/17/2020 07:40:00 PM,30,NO CONTROLS,CLEAR,DARKNESS,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,,UNABLE TO DETERMINE,1400,W,WEBSTER AVE,,NO INDICATION OF INJURY,0,0,0,19,5,9,41.92172981,-87.6632342
6/4/2019 16:43,35,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,,FAILING TO YIELD RIGHT-OF-WAY,406,E,61ST ST,,NO INDICATION OF INJURY,0,0,0,16,3,6,41.78399999,-87.61539311
08/31/2019 10:06:00 PM,30,STOP SIGN/FLASHER,RAIN,"DARKNESS, LIGHTED ROAD",ONE-WAY,WET,INJURY AND / OR TOW DUE TO CRASH,,FAILING TO REDUCE SPEED TO AVOID CRASH,4100,N,RIDGEWAY AVE,,NONINCAPACITATING INJURY,0,0,1,22,7,8,41.95564858,-87.72168989
10/1/2021 8:30,30,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,,DISTRACTION - FROM OUTSIDE VEHICLE,2828,N,PULASKI RD,,"REPORTED, NOT EVIDENT",0,0,0,8,6,10,41.93260422,-87.72714823
7/6/2021 15:00,30,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,,UNABLE TO DETERMINE,8900,S,COLFAX AVE,,"REPORTED, NOT EVIDENT",0,0,0,15,3,7,,
9/6/2019 23:00,30,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,1125,W,THORNDALE AVE,,NO INDICATION OF INJURY,0,0,0,23,6,9,41.98992712,-87.65927894
07/13/2021 10:29:00 PM,30,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",ONE-WAY,DRY,INJURY AND / OR TOW DUE TO CRASH,,NOT APPLICABLE,217,E,GRAND AVE,,NONINCAPACITATING INJURY,0,0,1,22,3,7,41.89166309,-87.6219649
06/13/2023 02:13:00 PM,30,TRAFFIC SIGNAL,RAIN,UNKNOWN,UNKNOWN INTERSECTION TYPE,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,,UNABLE TO DETERMINE,3100,N,CLARK ST,,NONINCAPACITATING INJURY,0,0,1,14,3,6,,
05/29/2021 02:27:00 PM,30,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,FOUR WAY,DRY,NO INJURY / DRIVE AWAY,Y,FAILING TO YIELD RIGHT-OF-WAY,2199,E,HAYES DR,,NO INDICATION OF INJURY,0,0,0,14,7,5,,
08/30/2019 04:25:00 PM,30,NO CONTROLS,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN BARRIER,DRY,INJURY AND / OR TOW DUE TO CRASH,,UNABLE TO DETERMINE,2327,W,POLK ST,,"REPORTED, NOT EVIDENT",0,0,0,16,6,8,41.87123794,-87.68487963
08/25/2019 02:32:00 PM,30,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,,NOT APPLICABLE,5852,W,GRAND AVE,,NO INDICATION OF INJURY,0,0,0,14,1,8,41.9201458,-87.77274105
01/31/2016 03:30:00 PM,25,STOP SIGN/FLASHER,RAIN,DAYLIGHT,ONE-WAY,WET,INJURY AND / OR TOW DUE TO CRASH,,UNABLE TO DETERMINE,2257,S,TROY ST,N,NONINCAPACITATING INJURY,0,0,1,15,1,1,41.85011741,-87.70383416
09/30/2021 04:35:00 PM,30,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,T-INTERSECTION,DRY,INJURY AND / OR TOW DUE TO CRASH,Y,UNABLE TO DETERMINE,1001,S,CICERO AVE,,NONINCAPACITATING INJURY,0,0,1,16,5,9,41.86850589,-87.74468854
07/25/2017 01:25:00 PM,25,UNKNOWN,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,Y,UNABLE TO DETERMINE,124,S,KOSTNER AVE,,NONINCAPACITATING INJURY,0,0,1,13,3,7,41.87879283,-87.73556076
05/17/2018 05:51:00 PM,30,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,Y,DISREGARDING STOP SIGN,3442,S,ABERDEEN ST,,NONINCAPACITATING INJURY,0,0,1,17,5,5,41.83152684,-87.65356455
8/3/2018 6:30,30,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,Y,UNABLE TO DETERMINE,2744,N,CALIFORNIA AVE,,NO INDICATION OF INJURY,0,0,0,6,6,8,41.93160795,-87.69775578
06/27/2019 06:10:00 PM,30,NO CONTROLS,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,INJURY AND / OR TOW DUE TO CRASH,Y,FAILING TO YIELD RIGHT-OF-WAY,319,W,NORTH AVE,,NONINCAPACITATING INJURY,0,0,1,18,5,6,41.91102092,-87.63748633
5/3/2023 21:10,30,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",DIVIDED - W/MEDIAN (NOT RAISED),DRY,INJURY AND / OR TOW DUE TO CRASH,Y,UNABLE TO DETERMINE,17,S,ASHLAND AVE,,NONINCAPACITATING INJURY,0,0,1,21,4,5,,
06/27/2021 06:58:00 AM,35,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,DIVIDED - W/MEDIAN BARRIER,DRY,INJURY AND / OR TOW DUE TO CRASH,,DISREGARDING TRAFFIC SIGNALS,5466,S,WENTWORTH AVE,,NONINCAPACITATING INJURY,0,0,1,6,1,6,,
10/10/2016 17:00,30,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,,UNABLE TO DETERMINE,5600,N,CALIFORNIA AVE,,NO INDICATION OF INJURY,0,0,0,17,2,10,41.98320898,-87.69930766
07/18/2018 10:30:00 AM,30,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,,NOT APPLICABLE,7400,S,SOUTH SHORE DR,,NO INDICATION OF INJURY,0,0,0,10,4,7,41.76217412,-87.55892746
04/17/2021 04:35:00 PM,30,NO CONTROLS,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,INJURY AND / OR TOW DUE TO CRASH,,UNABLE TO DETERMINE,3516,W,WRIGHTWOOD AVE,Y,NONINCAPACITATING INJURY,0,0,1,16,7,4,41.92838664,-87.71538411
9/5/2018 14:55,30,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN BARRIER,DRY,NO INJURY / DRIVE AWAY,,FAILING TO YIELD RIGHT-OF-WAY,705,S,DAMEN AVE,,NO INDICATION OF INJURY,0,0,0,14,4,9,0,0
10/3/2022 7:55,30,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,FOUR WAY,DRY,INJURY AND / OR TOW DUE TO CRASH,,UNABLE TO DETERMINE,5331,W,CHICAGO AVE,N,NONINCAPACITATING INJURY,0,0,1,7,2,10,41.89479047,-87.75940009
5/9/2020 10:44,30,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,OTHER,DRY,INJURY AND / OR TOW DUE TO CRASH,,DRIVING ON WRONG SIDE/WRONG WAY,360,W,MADISON ST,,"REPORTED, NOT EVIDENT",0,0,0,10,7,5,41.8820229,-87.63708141
9/9/2016 22:00,30,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,Y,UNABLE TO DETERMINE,1112,N,RUSH ST,,NONINCAPACITATING INJURY,0,0,1,22,6,9,,
8/12/2018 11:30,30,YIELD,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,,FAILING TO YIELD RIGHT-OF-WAY,626,W,LAWRENCE DR,,NONINCAPACITATING INJURY,0,0,1,11,1,8,41.96962788,-87.64691404
10/13/2020 12:03:00 PM,20,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,,UNABLE TO DETERMINE,3300,N,BROADWAY,,NO INDICATION OF INJURY,0,0,0,12,3,10,41.94188302,-87.644605
5/3/2018 9:05,30,NO CONTROLS,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,INJURY AND / OR TOW DUE TO CRASH,Y,FAILING TO YIELD RIGHT-OF-WAY,1332,W,DIVISION ST,,INCAPACITATING INJURY,0,1,1,9,5,5,41.90353679,-87.66185958
07/13/2020 09:00:00 PM,35,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO INJURY / DRIVE AWAY,Y,UNABLE TO DETERMINE,2600,W,LAWRENCE AVE,,NO INDICATION OF INJURY,0,0,0,21,2,7,41.96868081,-87.69386103
10/28/2021 03:50:00 PM,35,NO CONTROLS,RAIN,DAYLIGHT,NOT DIVIDED,WET,INJURY AND / OR TOW DUE TO CRASH,,UNABLE TO DETERMINE,9502,S,BEVERLY AVE,,NONINCAPACITATING INJURY,0,0,1,15,5,10,,
7/3/2018 18:57,30,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,,UNABLE TO DETERMINE,3413,N,BROADWAY,Y,NO INDICATION OF INJURY,0,0,0,18,3,7,41.94375169,-87.64491582
06/13/2017 10:00:00 AM,30,NO CONTROLS,CLEAR,DAYLIGHT,ONE-WAY,DRY,INJURY AND / OR TOW DUE TO CRASH,,UNABLE TO DETERMINE,1220,W,ARTHUR AVE,Y,"REPORTED, NOT EVIDENT",0,0,0,10,3,6,42.00053881,-87.66161436
8/12/2022 15:30,30,NO CONTROLS,CLEAR,DAYLIGHT,PARKING LOT,DRY,NO INJURY / DRIVE AWAY,,UNABLE TO DETERMINE,5133,W,IRVING PARK RD,,NO INDICATION OF INJURY,0,0,0,15,6,8,41.9532033,-87.75604874
